"Treatment","Nrate","Rep","Yield","Yield_kgha"
"None",0,1,5.58,5580
"None",45,1,8.53,8530
"None",90,1,10.3,10300
"None",135,1,11,11000
"None",180,1,11.2,11200
"None",225,1,10.6,10600
"None",270,1,11.3,11300
"None",315,1,11.5,11500
"None",0,2,4.99,4990
"None",45,2,8.5,8500
"None",90,2,11.9,11900
"None",135,2,11.3,11300
"None",180,2,11.2,11200
"None",225,2,11.3,11300
"None",270,2,11.1,11100
"None",315,2,10.4,10400
"None",0,3,7.17,7170
"None",45,3,9.5,9500
"None",90,3,9.03,9030
"None",135,3,6.78,6780
"None",180,3,8.27,8270
"None",225,3,10.6,10600
"None",270,3,9.62,9620
"None",315,3,8.7,8700
"None",0,4,3.69,3690
"None",45,4,9.62,9620
"None",90,4,9.97,9970
"None",135,4,11.6,11600
"None",180,4,9.61,9610
"None",225,4,11.4,11400
"None",270,4,11.7,11700
"None",315,4,11.3,11300
"RC",0,1,4.86,4860
"RC",45,1,7.76,7760
"RC",90,1,9.11,9110
"RC",135,1,8.34,8340
"RC",180,1,6.66,6660
"RC",225,1,10.8,10800
"RC",270,1,10.8,10800
"RC",315,1,10.3,10300
"RC",0,2,4.56,4560
"RC",45,2,9.26,9260
"RC",90,2,11.1,11100
"RC",135,2,10.6,10600
"RC",180,2,11.2,11200
"RC",225,2,10.2,10200
"RC",270,2,10.2,10200
"RC",315,2,10.6,10600
"RC",0,3,6.61,6610
"RC",45,3,10.4,10400
"RC",90,3,9.62,9620
"RC",135,3,7.81,7810
"RC",180,3,9.72,9720
"RC",225,3,10.4,10400
"RC",270,3,10.7,10700
"RC",315,3,10.3,10300
"RC",0,4,4.66,4660
"RC",45,4,9.12,9120
"RC",90,4,9.89,9890
"RC",135,4,8.6,8600
"RC",180,4,10.5,10500
"RC",225,4,10.5,10500
"RC",270,4,10.2,10200
"RC",315,4,10.9,10900
